Date,Open,High,Low,Close,Volume
2002-07-05 00:00:00+05:30,4.533332824707031,4.568888187408447,4.400000095367432,4.431110858917236,646996
2002-07-12 00:00:00+05:30,4.488887786865234,5.066666126251221,4.488887786865234,4.684443950653076,538806
2002-07-19 00:00:00+05:30,4.666666030883789,4.795555114746094,4.360000133514404,4.524444103240967,387223
2002-07-26 00:00:00+05:30,4.511110782623291,4.533332824707031,4.017776966094971,4.075554847717285,380507
2002-08-02 00:00:00+05:30,4.0444440841674805,4.168888092041016,3.8488879203796387,3.9600000381469727,333470
2002-08-09 00:00:00+05:30,4.0,4.088888168334961,3.8222219944000244,3.8711109161376953,345880
2002-08-16 00:00:00+05:30,4.0,4.066666126251221,3.8266661167144775,3.8933329582214355,249523
2002-08-23 00:00:00+05:30,4.02222204208374,4.02222204208374,3.644443988800049,3.782222032546997,316079
2002-08-30 00:00:00+05:30,3.759999990463257,3.8977770805358887,3.0488879680633545,3.617777109146118,339444
2002-09-06 00:00:00+05:30,3.817776918411255,4.17777681350708,3.1333329677581787,3.528887987136841,320195
2002-09-13 00:00:00+05:30,3.51111102104187,3.662221908569336,3.4577770233154297,3.5511109828948975,279753
2002-09-20 00:00:00+05:30,3.5555551052093506,3.933332920074463,3.0222220420837402,3.4666659832000732,335789
2002-09-27 00:00:00+05:30,3.4666659832000732,3.5199999809265137,3.3822219371795654,3.4222218990325928,304300
2002-10-04 00:00:00+05:30,3.377777099609375,3.4177770614624023,2.7555549144744873,3.2355549335479736,281406
2002-10-11 00:00:00+05:30,3.3333330154418945,3.6355550289154053,3.124444007873535,3.3111109733581543,287278
2002-10-18 00:00:00+05:30,3.4355549812316895,3.4355549812316895,3.1955549716949463,3.3377768993377686,261415
2002-10-25 00:00:00+05:30,3.4355549812316895,3.440000057220459,3.128887891769409,3.1866660118103027,341042
2002-11-01 00:00:00+05:30,3.297776937484741,3.297776937484741,2.937777042388916,2.9644439220428467,345238
2002-11-08 00:00:00+05:30,3.0933330059051514,3.102221965789795,2.8977770805358887,2.9911110401153564,218103
2002-11-15 00:00:00+05:30,3.031111001968384,3.0666658878326416,2.884443998336792,2.8933329582214355,327565
2002-11-22 00:00:00+05:30,2.955554962158203,3.208888053894043,2.8711109161376953,2.9911110401153564,291475
2002-11-29 00:00:00+05:30,3.0,3.0933330059051514,2.915555000305176,3.0622220039367676,496403
2002-12-06 00:00:00+05:30,3.1111109256744385,3.51111102104187,3.088887929916382,3.4044439792633057,367627
2002-12-13 00:00:00+05:30,3.5199999809265137,3.5199999809265137,3.1466660499572754,3.271111011505127,376502
2002-12-20 00:00:00+05:30,3.293333053588867,3.4000000953674316,3.1111109256744385,3.275554895401001,384286
2002-12-27 00:00:00+05:30,3.244443893432617,3.3022220134735107,3.1155550479888916,3.137777090072632,291542
2003-01-03 00:00:00+05:30,3.1466660499572754,3.377777099609375,3.0133330821990967,3.0177769660949707,374465
2003-01-10 00:00:00+05:30,2.9955549240112305,3.200000047683716,2.9422221183776855,3.031111001968384,345351
2003-01-17 00:00:00+05:30,2.9955549240112305,3.3111109733581543,2.9955549240112305,3.2666659355163574,393815
2003-01-24 00:00:00+05:30,3.3066658973693848,3.346666097640991,2.955554962158203,2.9644439220428467,447625
2003-01-31 00:00:00+05:30,2.933332920074463,3.1822218894958496,2.7200000286102295,2.7555549144744873,373858
2003-02-07 00:00:00+05:30,2.759999990463257,2.884443998336792,2.6755549907684326,2.7244439125061035,302387
2003-02-14 00:00:00+05:30,2.666666030883789,2.76444411277771,2.5333330631256104,2.5511109828948975,247352
2003-02-21 00:00:00+05:30,2.8444440364837646,2.8444440364837646,2.5733330249786377,2.648888111114502,306347
2003-02-28 00:00:00+05:30,2.7244439125061035,2.733333110809326,2.564444065093994,2.662221908569336,295446
2003-03-07 00:00:00+05:30,2.680000066757202,2.7555549144744873,2.391110897064209,2.395555019378662,280494
2003-03-14 00:00:00+05:30,2.395555019378662,2.475554943084717,2.3111109733581543,2.408888101577759,232929
2003-03-21 00:00:00+05:30,2.3555550575256348,2.377777099609375,2.0177769660949707,2.1955549716949463,279448
2003-03-28 00:00:00+05:30,2.177777051925659,2.222222089767456,1.8222219944000244,1.986665964126587,297391
2003-04-04 00:00:00+05:30,1.8666659593582153,2.2355549335479736,1.8666659593582153,2.2311110496520996,263564
2003-04-11 00:00:00+05:30,2.3111109733581543,2.666666030883789,2.222222089767456,2.462222099304199,256093
2003-04-18 00:00:00+05:30,2.5199999809265137,2.666666030883789,2.4666659832000732,2.497776985168457,148071
2003-04-25 00:00:00+05:30,2.4888880252838135,2.5777769088745117,2.448888063430786,2.5777769088745117,248174
2003-05-02 00:00:00+05:30,2.5777769088745117,2.5999999046325684,2.4577770233154297,2.493333101272583,201036
2003-05-09 00:00:00+05:30,2.4888880252838135,2.5777769088745117,2.408888101577759,2.475554943084717,250098
2003-05-16 00:00:00+05:30,2.4666659832000732,2.6533329486846924,2.448888063430786,2.5377769470214844,290574
2003-05-23 00:00:00+05:30,2.6222219467163086,2.6222219467163086,2.408888101577759,2.4888880252838135,346003
2003-05-30 00:00:00+05:30,2.497776985168457,2.8444440364837646,2.4577770233154297,2.782222032546997,486415
2003-06-06 00:00:00+05:30,2.880000114440918,3.1111109256744385,2.6933329105377197,2.76444411277771,558313
2003-06-13 00:00:00+05:30,2.768887996673584,3.004443883895874,2.711111068725586,2.7422220706939697,1656538
