9M 2024,9M 2023,Change rel.
41.1,60.2,-32%
-32.8,-38.7,-15%
-13.5,-7.7,+75%
-13.4,-10.0,+34%
-17.7,5.3,n/a
2.9,3.5,-17%
24.7,14.7,+68%
