H1 2023,H1 2022,Change in %
"43,789","17,644",+148.2 %
"-26,153","-12,317",-+112.3 %
"-5,170","-7,933",-34.9 %
"-6,108","-5,909",-4 %
"7,262","-7,581",--
"1,804","80,031",--
"12,147","2,040",+495.4 %
