9M 2025,9M 2024,Change Δ
19.5,41.1,-21.6
-37.3,-32.5,-4.8
-9.5,-14.5,+5.0
-14.4,-13.7,-1.3
-21.4,-17.7,-3.7
-21.7,2.9,-24.6
31.9,24.7,+7.2
