"Strong maturing and growing Pipeline Diversified portfolio of commercial, late and mid stage programs with multiple catalysts over the next 12 – 18 months",,,,,,,,,,,,,,
,Lucentis® (Genentech Inc.),Ophthalmology,,,,,,,,50% owned,Further approvals and launches,$2.0bn,2022,[US*] [ex-US] [MENA]
,,,,,,,,,,,,,,
,Stelara® (Johnson & Johnson),Immunology,,,,,,,,Fully owned,Approvals in US and EU,$10.9bn,2025**,[Key global Markets]
,,,,,,,,,,,,,,
,Eylea® (Regeneron Pharmaceuticals),Ophthalmology,,,,,,,,Out- licensed,Approvals in US and EU,$9.2bn,2025***,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Keytruda® (Merck Sharp & Dohme),Immuno-Oncology,,,,,,,,Fully owned,Start of clinical program,$25.0bn,> 2029,
,undisclosed,Immunology,,,,,,,,Fully owned,Technical Proof of Similarity,≈ $10.0bn,> 2030,
,undisclosed,Immunology,,,,,,,,Fully owned,Technical Proof of Similarity,,,
,,,,,,,,,,,,,,
,undisclosed,,,,,,,,,Fully owned,,,,
"*FYB201 US business was transferred from Coherus to Sandoz in March 2024 18 Formycon AG — FY 2023 **US launch date “no later than April 15, 2025” based on settlement agreed with J&J and subject to regulatory approval ***Depending on litigation progress",,,,,,,,,,,,,,
