Development Compensation (revenue + cash),€ 6.9m,"− Revenue and Cash resulting from cost compensation with a small single digit margin paid by BioeqAG to Formycon Project 201 GmbH to remunerate for R&D work, YTD € 6.9m. − Position is of decreasing relevance, as development is concluded and FYB201 has entered commercial stage."
Royalties (revenue + cash),€ 6.0m,"− Formycon Project 201 GmbH has outlicensed FYB201 to BioeqAG for global commercialization. In return, BioeqAG pays staggered royalties depending on the total sales of FYB201 (based on regular review among Bioeqand distributors Sandoz, Teva and MS Pharma). − YTD € 6.0m, approx. 80% Sandoz, 19% Teva, 1% MS Pharma."
Repayment of loan (cash only),€ 22.3m,"− Free cash flow generated at the level of BioeqAG is used to repay shareholder loans granted by JV-partners Polpharma and Formycon to Bioeq. − The repayment of this shareholder loan started in Q4 2023. − € 22.3m YTD 2024 including interest, cash only. − As of Sept. 30, 2024 € 69m loan outstanding."
At Equity Result (finance income only),€ 20.6m,"− Formycon is entitled to a 50% share in BioeqAG‘s net profit. − After full repayment of the loan, dividends will be paid based on that result, expected 2028."
Earn-out (cash only),€ -10.5m,− Conditional purchase price obligation resulting from acquisition of 50% of shares in BioeqAG in May 2022. − €10.5m earn-out payments to ATHOS YTD.
Commercial Success of FYB201,,"− YTD € 12.9m revenue + € 20.6m At Equity Result, resulting in approx. € 6.1m EBITDA und € 26.7m adjusted EBITDA contribution. − YTD approx. 17.9m cash contribution (+6.1m EBITDA + 22.3m loan – 10.5m earn-out)."
