Active In € million,"Dec31, 2023",,"Dec. 31, 2022",Change in %,Remarks
Non-currentassets,823.2,,823.2,+0%,− CapitalisationFYB206 vs. Changes Bioeq AG
Cash and cash equivalents,27.0,,9.8,+175%,− + 68m netcapitalincrease − + 25m FYB202 milestones − -20m Loanrepayment
Other currentassets,40.2,,20.7,+94%,− 7m advancepayment − 15m accruedrevenue
Total Assets,890.4,,853.7,+4%,
Passive In € million,"Dec31, 2023",,"Dec. 31, 2022",Change in %,Remarks
Equity capital,502.8,,356.6,+41%,− 70m capitalincreaseand profitforthe period
Non-currentliabilities,318.3,,446.4,-29%,− -33m reclass. to„current“ − -95m decreaseearn-out obligations
Currentliabilities,69.3,,50.7,+37%,− + 33m reclass. fromnon-current − + 5m accrual − -20m shareholder loanrepayment
Total Equity and Liabilities,890.4,,"853,7",+4%,
