in € million,Q1 2026,Q1 2025,Delta,Comment
,13.1,5.3,+7.8,
,-15.9,-14.8,-1.1,
,-0.8,-5.4,+4.6,
,-3.8,-5.2,+1.4,
,-1.7,-13.2,+11.5,
,-3.6,-11.8,+8.2,
,6.3,16.8,-10.5,
