,,,,,,,,,,,,,
Zydus Lifesciences Limited | Balance Sheet (As Reported),,,,,,,,,,,,,
NSEI: ZYDUSLIFE (MI KEY: 4810897; SPCIQ KEY: 865192),,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY,2026 FY
Period Ended,2014-03-31 00:00:00,2015-04-01 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Current Assets,,,,,,,,,,,,,
Cash and Cash Equivalents,5488,6178,6387,15435,5367,4207,8453,6652,6578,4878,4130,8268,8552
Bank Balances Other Than Cash and Cash Equivalents,,,,,7782,1282,1196,2231,4491,853,6921,21300,5614
Investments,644,1208,1991,491,2748,2299,2128,1989,23532,6193,2525,48555,57758
Trade Receivables,11337,16303,17466,22775,32063,39508,36632,31273,33403,44168,52202,40848,54157
Loans,,,,,,100,,,,4,15,771,37
Loans and Advances,2549,,,,,,,,,,,,
Inventories,13675,14175,13371,18037,23853,26880,27890,32362,37194,34133,34419,39440,56281
Other Current Assets,686,2908,3451,3362,6744,8489,8549,10309,8907,7573,7413,6794,14493
Other Current Financial Assets,,115,138,123,3448,2216,2306,2344,6847,2280,6573,4485,2169
Assets Classied as Held for Sale,,,,,292,,,,,,,,
Total Current Assets,34379,40887,42804,,,84981,87154,,120952,,,170461,199061
Noncurrent Assets,,,,,,,,,,,,,
Capital Work in Progress,8915,7767,9508,15433,15272,8372,7415,7832,6610,11302,11115,13179,11657
"Property, Plant and Equipment",21576,23416,26067,32904,38188,51059,54522,55500,57616,56965,58033,60420,92307
Investment in Joint Venture,,1248,1675,3214,3605,3484,3516,3570,3743,4166,,,
Investments Accounted for Using Equity Method,,,,,,,,,,,4162,11431,11666
Non-current Investments,222,722,496,643,1104,952,2006,2742,5605,5107,5518,4136,5975
Deferred Tax Asset-net,,963,5185,8955,9246,,8529,10744,10958,12624,16442,23438,21086
Loans,,150,,,,,,,,20,,,2
Long-term Loans and Advances,5111,,,,,,,,,,,,
Goodwill,,8950,8946,11494,13853,52890,53915,53465,53646,48044,52660,52421,75427
Intangible Assets Under Development,,,,,,,,,649,705,13118,13740,25328
Intangible Assets,9662,,,,,,,,,,,,
Other Intangible Assets,,393,2466,13153,12785,17688,13868,12363,10623,10200,12992,18496,73324
Other Non-current Assets,,2103,2267,2845,2034,2398,1575,2044,2506,2162,2133,2642,6842
Other Financial Assets,,1647,1914,2631,1529,2239,2860,2518,2446,4980,413,409,344
Other Financial Assets,,,,,,9703,,,,,,,
"Current Tax Assets, Net",,3096,4178,712,740,1065,1506,909,938,1125,1208,1244,1047
Assets Classified as Held for Sale,,,,,,,,,1662,82,816,,
Total Assets,79865,91342,105506,152207,180653,234831,236866,238847,277954,257564,292808,372017,524066
Current Liabilities,,,,,,,,,,,,,
Trade Payables,9108,10329,13081,15479,,,,,,,,,
"Due to Micro, Small and Medium Enterprises",,,,,214,121,170,228,280,377,670,974,1540
Dues to Other Than Micro and Small Enterprises,,,,,18670,19105,20273,21831,21098,20873,20597,21833,26911
Borrowings,9024,11757,12109,24769,25575,31969,38265,39740,38339,,7686,31695,85815
Lease Liabilities,,,,,,,,90,88,119,105,116,582
"Current Tax Liabilities, Net",,213,300,116,520,537,291,884,418,1568,3720,6157,3663
Short-term Provisions,2927,266,513,573,1002,1357,2432,3299,3656,3654,3948,4514,4785
Other Current Liabilities,7081,844,1014,1519,1387,1713,1771,1782,1864,2705,2780,2663,4777
Other Financial Liabilities,,6512,7593,10602,13352,18623,19492,10759,12525,14339,13891,22464,29046
Financial Liabilities,,,,,,,,,,11632,,,
Liabilities Directly Associated With Assets Classified as Held for Sale,,,,,110,,,,126,40,22,,
Total Current Liabilities,28140,29921,34610,,,73425,82694,,78394,,,90416,157119
Noncurrent Liabilities,,,,,,,,,,,,,
Long-term Borrowings,13622,11504,8964,24684,25551,39497,32146,6095,3621,,,,31880
Lease Liabilities,,,,,,,,151,161,198,251,321,6683
"Deferred Tax Liability, Net",961,1575,2009,1164,2821,2523,2099,1197,1538,1944,4465,5126,17340
Minority Interest,1443,1767,1358,1561,1910,12929,13347,19373,20542,21725,22721,24053,24708
Other Non-current Liabilities,548,,,,13,26,17,10,3,,18,9,5
Long-term Provisions,761,1064,1207,1512,1559,1841,2352,3095,3250,2718,3097,3839,4453
Other Financial Liabilities,,303,366,628,524,727,454,390,449,514,10542,8722,10764
Shareholders' Equity,,,,,,,,,,,,,
Common Stock - Par Value,1024,1024,1024,1024,1024,1024,1024,1024,1024,1012,1006,1006,1006
Reserves & Surplus,33366,,,,,,,,,,,,
Other Equity,,44184,55968,68576,86421,102839,102733,128899,168972,174146,197289,238525,270108
Total Shareholders Equity,34390,45208,56992,69600,87445,103863,103757,129923,169996,175158,198295,239531,271114
Total Liabilities & Shareholders Equity,79865,91342,105506,152207,180653,234831,236866,238847,277954,257564,292808,372017,524066
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,
