company,period_label,period_type,period_end,statement,line_item,value,value_period,currency,units,scope,source,source_url,date,page,original_file,sha256,direct_derived,notes,__period__
Formycon,FY2023,FY,2023-12-31,Income Statement,Revenue,77.7,FY,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-04-25,10,Formycon_FY2023_EarningsCall.pdf,8d3c3fca78cdd0fd03e79f9ef0352f1677c273d73d41e9e86c64ce2d228dcd0c,direct,Extracted from FY2023 group_presentation,2023-12-31
Formycon,FY2023,FY,2023-12-31,Income Statement,EBITDA,1.5,FY,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-04-25,10,Formycon_FY2023_EarningsCall.pdf,8d3c3fca78cdd0fd03e79f9ef0352f1677c273d73d41e9e86c64ce2d228dcd0c,direct,Extracted from FY2023 group_presentation,2023-12-31
Formycon,H1_2023,H1,2023-06-30,Income Statement,Net Income / Comprehensive Income,35993.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2023-08-09,32,Formycon_H1_2023_Report.pdf,f1adb99d6c02bf80b8a1d7a765fee7af592200e1a9b30b6e16c34c33192c40a4,direct,Extracted from H1_2023 consolidated,2023-06-30
Formycon,Q1_2024,Q1,2024-03-31,Income Statement,Revenue,17.7,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-05-08,8,Formycon_Q1_2024_EarningsCall.pdf,23cb7b9ee0cb9dcf45d44ce40451c55c1bcfe8ffb2354ea6296404fbaf77d95a,direct,Extracted from Q1_2024 group_presentation,2024-03-31
Formycon,Q1_2024,Q1,2024-03-31,Income Statement,EBITDA,-5.5,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-05-08,8,Formycon_Q1_2024_EarningsCall.pdf,23cb7b9ee0cb9dcf45d44ce40451c55c1bcfe8ffb2354ea6296404fbaf77d95a,direct,Extracted from Q1_2024 group_presentation,2024-03-31
Formycon,Q1_2024,Q1,2024-03-31,Income Statement,Adjusted EBITDA,-1.2,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-05-08,8,Formycon_Q1_2024_EarningsCall.pdf,23cb7b9ee0cb9dcf45d44ce40451c55c1bcfe8ffb2354ea6296404fbaf77d95a,direct,Extracted from Q1_2024 group_presentation,2024-03-31
Formycon,H1_2024,H1,2024-06-30,Income Statement,Revenue,26893.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,Cost of Sales,-26153.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,R&D Expenses,-9692.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,Selling Expenses,-437.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,Administrative Expenses,10.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,Other Expenses,-142.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,Other Income,14.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,Operating Profit/Loss (EBIT),6358.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
Formycon,H1_2024,H1,2024-06-30,Income Statement,Net Income / Comprehensive Income,-10094.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-08-14,32,Formycon_H1_2024_Report.pdf,ebbebd1e8d1175696acd59d3a5b2d72ff3edbeff2fe3d46a89a84b1c67b0cc82,direct,Extracted from H1_2024 consolidated,2024-06-30
