H1 2025,H1 2024,Change Δ
9.0,26.9,-17.9
-22.4,-25.0,+2.6
-8.2,-9.7,+1.5
-9.8,-10.2,+0.4
-17.9,-16.9,-1.0
-19.2,-2.1,-17.1
24.6,16.6,+8.0
