in € million,H1 2026,H1 2025,,Delta,Comment
,25.8,9.0,,+16.8,
,-28.8,-22.4,,-6.4,
,-2.5,-8.2,,+5.7,
,-10.2,-9.8,,-0.4,
,-14.6,-54.2,,+39.6,
,,,,,
,-3.4,-17.9,,+14.5,
,-6.9,-19.2,,+12.3,
,9.9,24.6,,-14.7,
